class_index,label_name,title,description,text,char_count,word_count
4,Sci/Tech,RealNetworks signs up Red Flag Linux,Digital media company signs up a new Linux partner to distribute its audio and video player.,RealNetworks signs up Red Flag Linux Digital media company signs up a new Linux partner to distribute its audio and video player.,129,22
1,World,Stop croc water swimming: coroner,"THE public still did not appreciate how frighteningly dangerous crocodiles were, even after the fatal mauling of a German tourist two years ago, a coroner said today.","Stop croc water swimming: coroner THE public still did not appreciate how frighteningly dangerous crocodiles were, even after the fatal mauling of a German tourist two years ago, a coroner said today.",200,32
2,Sports,O'Brien Sues OSU for  #36;3.4 Million (AP),"AP - Former Ohio State basketball coach Jim O'Brien sued the school, claiming he is owed at least  #36;3.4 million because his firing violated terms of his contract.","O'Brien Sues OSU for  #36;3.4 Million (AP) AP - Former Ohio State basketball coach Jim O'Brien sued the school, claiming he is owed at least  #36;3.4 million because his firing violated terms of his contract.",208,35
1,World,Construction Spending Hits All-Time High,"WASHINGTON - Construction spending surged in August to the highest level on record, while manufacturing grew at a slower pace in September, offering mixed signals about the economy's strength.    The Commerce Department reported Friday that the value of buildings put in place clocked in at a seasonally adjusted annual rate of \$1.02 trillion, a record high...","Construction Spending Hits All-Time High WASHINGTON - Construction spending surged in August to the highest level on record, while manufacturing grew at a slower pace in September, offering mixed signals about the economy's strength.    The Commerce Department reported Friday that the value of buildings put in place clocked in at a seasonally adjusted annual rate of  $1.02 trillion, a record high...",402,61
2,Sports,"Hewitt Wins Long Island, Sends U.S. Open Warning"," COMMACK, New York (Reuters) - Former world number one  Lleyton Hewitt hammered out a warning to his rivals for next  week's U.S. Open as he demolished Peru's Luis Horna 6-3, 6-1,  to win the Long Island Cup on Sunday.","Hewitt Wins Long Island, Sends U.S. Open Warning  COMMACK, New York (Reuters) - Former world number one  Lleyton Hewitt hammered out a warning to his rivals for next  week's U.S. Open as he demolished Peru's Luis Horna 6-3, 6-1,  to win the Long Island Cup on Sunday.",267,47
4,Sci/Tech,Alaska Brown Bears Gather for Annual Salmon Feast,"Each summer, the falls at McNeil River turn into a mosh pit of bears. Instead of thumping music, it's the sound of salmon slapping their way up the falls at the McNeil River State Game Sanctuary that sends the bears into a fishing frenzy.","Alaska Brown Bears Gather for Annual Salmon Feast Each summer, the falls at McNeil River turn into a mosh pit of bears. Instead of thumping music, it's the sound of salmon slapping their way up the falls at the McNeil River State Game Sanctuary that sends the bears into a fishing frenzy.",288,52
2,Sports,MLB Notebook: Johnson trade still in the works,"The New York Yankees, Arizona and Los Angeles spent yesterday trying to put the finishing touches on the megadeal that would move All-Stars Randy Johnson, Shawn Green and Javier Vazquez.","MLB Notebook: Johnson trade still in the works The New York Yankees, Arizona and Los Angeles spent yesterday trying to put the finishing touches on the megadeal that would move All-Stars Randy Johnson, Shawn Green and Javier Vazquez.",233,38
4,Sci/Tech,MSN #39;s download service expanding,Microsoft #39;s has launched its MSN music download service in eight more European countries as the software giant bids to takes on Apple #39;s market leading iTunes.,MSN #39;s download service expanding Microsoft #39;s has launched its MSN music download service in eight more European countries as the software giant bids to takes on Apple #39;s market leading iTunes.,203,32
3,Business,US Army to withhold portion of Halliburton payments,The billing dispute between the US Army and Houston-based Halliburton Co. continues as the Army on Tuesday said it would withhold paying 15 percent of future invoices from Halliburton. ,US Army to withhold portion of Halliburton payments The billing dispute between the US Army and Houston-based Halliburton Co. continues as the Army on Tuesday said it would withhold paying 15 percent of future invoices from Halliburton.,236,37
4,Sci/Tech,Geminid Meteor Shower Could Be Spectacular,DENVER -- Coloradans willing to brave the nighttime cold and get away from the lights of the city could be in for a spectacular show Monday night.,Geminid Meteor Shower Could Be Spectacular DENVER -- Coloradans willing to brave the nighttime cold and get away from the lights of the city could be in for a spectacular show Monday night.,189,33
2,Sports,The U.S. Gives Mia Hamm a Golden Farewell," ATHENS (Reuters) - The United States gave Hall of Famer Mia  Hamm the perfect send-off Thursday, beating Brazil 2-1 to win  Olympic gold in the women's soccer tournament.","The U.S. Gives Mia Hamm a Golden Farewell  ATHENS (Reuters) - The United States gave Hall of Famer Mia  Hamm the perfect send-off Thursday, beating Brazil 2-1 to win  Olympic gold in the women's soccer tournament.",213,36
1,World,US Considering Incentives for Iran,"Resigning Iranian Vice-President Mohammad Ali Abtahi, center, and newly appointed Vice-President Majid Ansari, second left, attend a meeting of the central council of their party President Mohammad Khatami accepted Abtahi #39;s resignation, in Tehran, Iran ","US Considering Incentives for Iran Resigning Iranian Vice-President Mohammad Ali Abtahi, center, and newly appointed Vice-President Majid Ansari, second left, attend a meeting of the central council of their party President Mohammad Khatami accepted Abtahi #39;s resignation, in Tehran, Iran",291,40
1,World,In Our View: Sanctions not enough for Sudan,"While most of the country #39;s attention has been focused on Iraq, a human-rights crisis has been unfolding in north Africa. In Darfur, Sudan, more than 50,000 people have been killed and 1.2 million displaced ","In Our View: Sanctions not enough for Sudan While most of the country #39;s attention has been focused on Iraq, a human-rights crisis has been unfolding in north Africa. In Darfur, Sudan, more than 50,000 people have been killed and 1.2 million displaced",254,43
1,World,Apex court permits night viewing of Taj Mahal:,"India News: New Delhi, Nov 25 : The Supreme Court Thursday permitted the Uttar Pradesh government to allow visitors to view the Taj Mahal on five moonlit nights a month.","Apex court permits night viewing of Taj Mahal: India News: New Delhi, Nov 25 : The Supreme Court Thursday permitted the Uttar Pradesh government to allow visitors to view the Taj Mahal on five moonlit nights a month.",216,38
3,Business,Krispy Kreme #39;s hot streak cools,The niche doughnuts that rose quickly in popularity are feeling the weight of the low-carb craze and mass marketing. By Deb Kollars and Edie Lau -- Bee Staff Writers.,Krispy Kreme #39;s hot streak cools The niche doughnuts that rose quickly in popularity are feeling the weight of the low-carb craze and mass marketing. By Deb Kollars and Edie Lau -- Bee Staff Writers.,202,35
4,Sci/Tech,"EU Wants to Cut Greenhouse Gases in Cars, Shoes (Reuters)","Reuters - The European Union's battle against\global warming will force companies to change automobile air\conditioning systems and restrict the sale of air-cushioned\sports shoes, European Union ministers said on Thursday.","EU Wants to Cut Greenhouse Gases in Cars, Shoes (Reuters) Reuters - The European Union's battle against global warming will force companies to change automobile air conditioning systems and restrict the sale of air-cushioned sports shoes, European Union ministers said on Thursday.",281,42
4,Sci/Tech,Solaris will be available for free,"At yesterday #39;s official launch of the new Solaris 10 operating system in San Jose, Calif., Sun executives said Solaris will be issued next January under an  quot;open-source quot; licensing plan similar to that used by the rival operating system Linux and the ","Solaris will be available for free At yesterday #39;s official launch of the new Solaris 10 operating system in San Jose, Calif., Sun executives said Solaris will be issued next January under an  quot;open-source quot; licensing plan similar to that used by the rival operating system Linux and the",298,49
1,World,Man dies in blast as Chechens go to polls,"OISKHARA, Russia - A man tried to bring a suspicious package into a polling station in Chechnya on Sunday, then died in an explosion as he ran away, the head of the Chechen election commission said on Russian television.","Man dies in blast as Chechens go to polls OISKHARA, Russia - A man tried to bring a suspicious package into a polling station in Chechnya on Sunday, then died in an explosion as he ran away, the head of the Chechen election commission said on Russian television.",262,48
1,World,Barghouthi Pulls Out of Palestinian Election,"Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan. 9 presidential election to succeed Yasser Arafat, a close aide said on Sunday.","Barghouthi Pulls Out of Palestinian Election Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan. 9 presidential election to succeed Yasser Arafat, a close aide said on Sunday.",201,31
1,World,Afghanistan takes first difficult steps toward democracy,The election for president in Afghanistan may have brought us one small step closer to worldwide democracy. At least the people there left no doubt that they wanted to vote.,Afghanistan takes first difficult steps toward democracy The election for president in Afghanistan may have brought us one small step closer to worldwide democracy. At least the people there left no doubt that they wanted to vote.,230,37
2,Sports,Cards power way to victory,"First came the swing, then the launch and then the sound of 52,347 turning Busch Stadium into a deafening caldron. Then, having given the Cardinals an eighth-inning home run that ","Cards power way to victory First came the swing, then the launch and then the sound of 52,347 turning Busch Stadium into a deafening caldron. Then, having given the Cardinals an eighth-inning home run that",205,35
1,World,Swedish ambassador says diplomats in North Korean saw no sign of &lt;b&gt;...&lt;/b&gt;,"Video footage of the area where North Korea said a huge explosion occurred showed dozens of workers swarming around a dusty construction site resembling a large dam project, while a foreign diplomat who visited the site said Friday he found no sign the ","Swedish ambassador says diplomats in North Korean saw no sign of &lt;b&gt;...&lt;/b&gt; Video footage of the area where North Korea said a huge explosion occurred showed dozens of workers swarming around a dusty construction site resembling a large dam project, while a foreign diplomat who visited the site said Friday he found no sign the",340,55
2,Sports,Pesky's patience rewarded,"Those were tears of joy he didn't even try to hide amid the wild celebration in the Red Sox' locker room last night. Sure, some champagne had been poured on him, but those were Johnny Pesky's emotions on display as he witnessed a scene that he never had a doubt he'd see.","Pesky's patience rewarded Those were tears of joy he didn't even try to hide amid the wild celebration in the Red Sox' locker room last night. Sure, some champagne had been poured on him, but those were Johnny Pesky's emotions on display as he witnessed a scene that he never had a doubt he'd see.",297,55
2,Sports,Srichaphan sets up Federer semi,"Thailand #39;s Paradorn Srichaphan on Friday lined up a semifinal clash with world number one Roger Federer as he handed out a 6-2, 7-5 defeat to Dutchman Dennis van Scheppingen at the Thailand Open.","Srichaphan sets up Federer semi Thailand #39;s Paradorn Srichaphan on Friday lined up a semifinal clash with world number one Roger Federer as he handed out a 6-2, 7-5 defeat to Dutchman Dennis van Scheppingen at the Thailand Open.",231,39
3,Business,Energy giants pair to pursue liquefied gas plant,"Two of Canada #39;s biggest energy companies, TransCanada Corp. and Petro-Canada Inc., want to build a \$660 million liquefied natural gas plant in northeastern Quebec to meet North Americans #39; insatiable demand for the fuel.","Energy giants pair to pursue liquefied gas plant Two of Canada #39;s biggest energy companies, TransCanada Corp. and Petro-Canada Inc., want to build a  $660 million liquefied natural gas plant in northeastern Quebec to meet North Americans #39; insatiable demand for the fuel.",277,43
2,Sports,Comparisons inevitable in draft-day rematch,"It will be a Saturday afternoon soap opera, with the man the Giants vowed to have and to hold and the one they left at the altar crossing paths on the floor of Giants Stadium.","Comparisons inevitable in draft-day rematch It will be a Saturday afternoon soap opera, with the man the Giants vowed to have and to hold and the one they left at the altar crossing paths on the floor of Giants Stadium.",219,40
2,Sports,Lions WR Roy Williams misses game in Dallas,"Detroit Lions receiver Roy Williams missed Sunday #39;s game against the Dallas Cowboys because of an ankle injury. Williams leads the Lions with 24 catches for 362 yards and five touchdowns, having taken over ","Lions WR Roy Williams misses game in Dallas Detroit Lions receiver Roy Williams missed Sunday #39;s game against the Dallas Cowboys because of an ankle injury. Williams leads the Lions with 24 catches for 362 yards and five touchdowns, having taken over",253,42
2,Sports,New Florida Coach Meyer Names Coaches (AP),"AP - Florida coach Urban Meyer nearly filled out his coaching staff Monday, keeping two assistants from Ron Zook's staff and bringing four with him from Utah.","New Florida Coach Meyer Names Coaches (AP) AP - Florida coach Urban Meyer nearly filled out his coaching staff Monday, keeping two assistants from Ron Zook's staff and bringing four with him from Utah.",201,34
2,Sports,Knicks tighten defense in time,"When Stephon Marbury practically scraped the sky with a fourth-quarter jumper that barely beat the shot-clock buzzer and gave the Knicks a 12-point lead with 1:59 to play Saturday afternoon, Madison Square Garden began to empty.","Knicks tighten defense in time When Stephon Marbury practically scraped the sky with a fourth-quarter jumper that barely beat the shot-clock buzzer and gave the Knicks a 12-point lead with 1:59 to play Saturday afternoon, Madison Square Garden began to empty.",259,41
1,World,Medical Experts Fear Charley's Aftermath,"PUNTA GORDA, Fla. - Until the electricity hums again and the debris is cleared, health officials are worried that there could be more deaths and injuries in Hurricane Charley's aftermath than during the storm itself...","Medical Experts Fear Charley's Aftermath PUNTA GORDA, Fla. - Until the electricity hums again and the debris is cleared, health officials are worried that there could be more deaths and injuries in Hurricane Charley's aftermath than during the storm itself...",259,40
1,World,Edwards Calls for Crackdown on Meth Labs (AP),AP - Democratic vice presidential nominee John Edwards called Monday for tighter restrictions on the sale of nonprescription cold medicines that could be used to make methamphetamine.,Edwards Calls for Crackdown on Meth Labs (AP) AP - Democratic vice presidential nominee John Edwards called Monday for tighter restrictions on the sale of nonprescription cold medicines that could be used to make methamphetamine.,229,35
3,Business,Coke to alter sales practices,"Coca-Cola on Friday agreed to alter its sales practices in some European markets, an offer likely to bring to an end a five-year investigation by the European Commission into whether the soft drinks giant was stifling retail competition.","Coke to alter sales practices Coca-Cola on Friday agreed to alter its sales practices in some European markets, an offer likely to bring to an end a five-year investigation by the European Commission into whether the soft drinks giant was stifling retail competition.",267,43
2,Sports,Bungle against Bengals won #39;t do,"You don #39;t lose to the Bengals. It simply isn #39;t done. Not on Monday night, not on Sunday afternoon, not on Oct. 25, not on the 12th of Never.","Bungle against Bengals won #39;t do You don #39;t lose to the Bengals. It simply isn #39;t done. Not on Monday night, not on Sunday afternoon, not on Oct. 25, not on the 12th of Never.",184,36
1,World,Syria under Security Council Scrutiny ... A Gift from Syria to &lt;b&gt;...&lt;/b&gt;,Syria has turned herself into cannon fodder in the campaigns directed against her during the American presidential election battle-a result of her miscalculations in the Lebanese presidential elections.,Syria under Security Council Scrutiny ... A Gift from Syria to &lt;b&gt;...&lt;/b&gt; Syria has turned herself into cannon fodder in the campaigns directed against her during the American presidential election battle-a result of her miscalculations in the Lebanese presidential elections.,288,40
1,World,IAEA Won't Guarantee Iran Probe Deadline,"VIENNA, Austria - The head of the U.N. nuclear watchdog agency said Tuesday that he cannot guarantee his probe of Iran's suspect nuclear activities will be complete by November, the deadline sought by the United States and its European allies...","IAEA Won't Guarantee Iran Probe Deadline VIENNA, Austria - The head of the U.N. nuclear watchdog agency said Tuesday that he cannot guarantee his probe of Iran's suspect nuclear activities will be complete by November, the deadline sought by the United States and its European allies...",286,46
1,World,Lufthansa reaches wages agreement,German airline Lufthansa reaches a deal with unions on pay and working hours for its ground staff.,Lufthansa reaches wages agreement German airline Lufthansa reaches a deal with unions on pay and working hours for its ground staff.,132,21
2,Sports,Harmison rated best Test bowler,"ENGLAND fast bowler Steve Harmison is the world #39;s number one bowler, according to the latest PwC Test ratings. The Durham quick #39;s match-winning nine-wicket haul in the fourth and final Test against the West ","Harmison rated best Test bowler ENGLAND fast bowler Steve Harmison is the world #39;s number one bowler, according to the latest PwC Test ratings. The Durham quick #39;s match-winning nine-wicket haul in the fourth and final Test against the West",246,40
3,Business,"Optus, Vodafone in 3G link","TELCOS Optus and Vodafone Australia will combine to create a national 3G mobile network, just three weeks after rival Telstra Corp entered a similar deal.","Optus, Vodafone in 3G link TELCOS Optus and Vodafone Australia will combine to create a national 3G mobile network, just three weeks after rival Telstra Corp entered a similar deal.",181,30
2,Sports,"Fan slapped with fine, five-year ban for racially abusing Yorke","LONDON (AFP) - A British court slapped a 1,000-pound (1,880-dollar) fine and a five-year football ground ban on a fan for hurling monkey chants at Birmingham City striker Dwight Yorke.","Fan slapped with fine, five-year ban for racially abusing Yorke LONDON (AFP) - A British court slapped a 1,000-pound (1,880-dollar) fine and a five-year football ground ban on a fan for hurling monkey chants at Birmingham City striker Dwight Yorke.",248,40
1,World,Beheadings Mark Haiti's Latest Misery," PORT-AU-PRINCE, Haiti, Oct. 7 -- At first it looked like an old glove, black and rubbery and flattened in traffic. But a closer look revealed toenails.","Beheadings Mark Haiti's Latest Misery  PORT-AU-PRINCE, Haiti, Oct. 7 -- At first it looked like an old glove, black and rubbery and flattened in traffic. But a closer look revealed toenails.",190,31
3,Business,"Alitalia, Unions Sign Deal to Split Company",Italy #39;s troubled Alitalia airline has reached a deal with eight of nine unions to split the state-controlled firm in two in a plan to stave off bankruptcy.,"Alitalia, Unions Sign Deal to Split Company Italy #39;s troubled Alitalia airline has reached a deal with eight of nine unions to split the state-controlled firm in two in a plan to stave off bankruptcy.",203,35
2,Sports,Ohio St. Forces Turnovers to Top N.C. St. (AP),"AP - The Luckeyes' magic is alive and well. Ohio State made up for a shoddy day offensively by forcing five turnovers, and Mike Nugent tied a school record with five field goals to give the ninth-ranked Buckeyes a 22-14 victory over North Carolina State on Saturday.","Ohio St. Forces Turnovers to Top N.C. St. (AP) AP - The Luckeyes' magic is alive and well. Ohio State made up for a shoddy day offensively by forcing five turnovers, and Mike Nugent tied a school record with five field goals to give the ninth-ranked Buckeyes a 22-14 victory over North Carolina State on Saturday.",313,56
2,Sports,No Offense: Sox Fall To Rays,"The Sox, who entered play Tuesday with 28 wins in their last 35 games, continued their gradual descent back to Earth by falling to the Devil Rays, 5-2, in front of another sellout crowd of 35,118 at Fenway Park.","No Offense: Sox Fall To Rays The Sox, who entered play Tuesday with 28 wins in their last 35 games, continued their gradual descent back to Earth by falling to the Devil Rays, 5-2, in front of another sellout crowd of 35,118 at Fenway Park.",240,45
1,World,Iraq Again In The Forefront as Australian Election Approaches,"Australia #39;s election campaign is in its final stages, with the country #39;s role in Iraq again a major talking point. Australian Prime Minister John Howard says he does not need to apologize for joining last ","Iraq Again In The Forefront as Australian Election Approaches Australia #39;s election campaign is in its final stages, with the country #39;s role in Iraq again a major talking point. Australian Prime Minister John Howard says he does not need to apologize for joining last",274,45
1,World,TV Reporter May Be Jailed for Refusing to Disclose Source,The reporter was convicted of criminal contempt for refusing to disclose who leaked him an F.B.I. videotape on an investigation of government corruption in Providence.,TV Reporter May Be Jailed for Refusing to Disclose Source The reporter was convicted of criminal contempt for refusing to disclose who leaked him an F.B.I. videotape on an investigation of government corruption in Providence.,225,35
4,Sci/Tech,"Indian software services, BPO face worker shortage","BANGALORE, INDIA - India's software services and business process outsourcing (BPO) industries could face a shortage of skilled workers in the coming years, according to the National Association of Software and Service Companies (NASSCOM) in Delhi.","Indian software services, BPO face worker shortage BANGALORE, INDIA - India's software services and business process outsourcing (BPO) industries could face a shortage of skilled workers in the coming years, according to the National Association of Software and Service Companies (NASSCOM) in Delhi.",299,43
2,Sports,Castroneves captures Indy race pole,FONTANA (California): Brazils Helio Castroneves dominated qualifying with a lap at 217.479 miles per hour to put his Dallara/ Toyota on the pole for the Toyota Indy 400 on Sunday.,Castroneves captures Indy race pole FONTANA (California): Brazils Helio Castroneves dominated qualifying with a lap at 217.479 miles per hour to put his Dallara/ Toyota on the pole for the Toyota Indy 400 on Sunday.,215,35
4,Sci/Tech,Orange to ship Wi-Fi Pocket 'in October',"&lt;strong&gt;Update&lt;/strong&gt; M2000 same as XDA IIs, VPA III, MDA III","Orange to ship Wi-Fi Pocket 'in October' &lt;strong&gt;Update&lt;/strong&gt; M2000 same as XDA IIs, VPA III, MDA III",116,17
2,Sports,"Jeter, Yankees Look Dashing Once Again","Here it comes. You can feel the rumbling of anticipation now. Just two games into the American League playoffs, we already have a colossal collision coming into focus.","Jeter, Yankees Look Dashing Once Again Here it comes. You can feel the rumbling of anticipation now. Just two games into the American League playoffs, we already have a colossal collision coming into focus.",206,34
3,Business,Oil Back Up to  #36;55 on U.S. Winter Stocks (Reuters),Reuters - Oil prices charged back up to  #36;55 a\barrel on Wednesday as a fresh fall in U.S. heating oil stocks\stoked worries over winter supplies.,Oil Back Up to  #36;55 on U.S. Winter Stocks (Reuters) Reuters - Oil prices charged back up to  #36;55 a barrel on Wednesday as a fresh fall in U.S. heating oil stocks stoked worries over winter supplies.,204,37
4,Sci/Tech,Hollywood Steps Into DVD Format Fight (AP),"AP - Three top Hollywood studios are throwing their considerable weight behind one of two competing formats for the next generation of DVDs, citing in part the need to stem piracy.","Hollywood Steps Into DVD Format Fight (AP) AP - Three top Hollywood studios are throwing their considerable weight behind one of two competing formats for the next generation of DVDs, citing in part the need to stem piracy.",223,38
3,Business,Update 1: Asset Writedown Leads to \$3.4B MCI Loss,"MCI Inc., one of the nation #39;s biggest long-distance operators, lost \$3.4 billion in the third quarter of 2004 due to a previously announced asset writedown of \$3.","Update 1: Asset Writedown Leads to  $3.4B MCI Loss MCI Inc., one of the nation #39;s biggest long-distance operators, lost  $3.4 billion in the third quarter of 2004 due to a previously announced asset writedown of  $3.",219,37
1,World,Detroit 'African Town' Plan Stirs Debate (AP),"AP - Detroit has a Greektown section that tempts visitors with moussaka and baklava, and a Mexicantown neighborhood with Latin American groceries and restaurants. Now, politicians are pushing for a business district identified with the city's biggest minority group  #151; blacks.","Detroit 'African Town' Plan Stirs Debate (AP) AP - Detroit has a Greektown section that tempts visitors with moussaka and baklava, and a Mexicantown neighborhood with Latin American groceries and restaurants. Now, politicians are pushing for a business district identified with the city's biggest minority group  #151; blacks.",326,48
3,Business,"Bank of America to cut 4,500 jobs","Bank of America Corp. (NYSE: BAC) plans to cut about 2.5 percent, or 4,500 jobs from its workforce, and it #39;s unclear how those cuts will affect Austin employees.","Bank of America to cut 4,500 jobs Bank of America Corp. (NYSE: BAC) plans to cut about 2.5 percent, or 4,500 jobs from its workforce, and it #39;s unclear how those cuts will affect Austin employees.",199,36
2,Sports,Virginia runs to victory over Clemson,"CHARLOTTESVILLE, Va. - Facing the first real test to its dominance this season, Virginia showed Clemson - and the nation - that its numbers haven #39;t just been built against inferior competition.","Virginia runs to victory over Clemson CHARLOTTESVILLE, Va. - Facing the first real test to its dominance this season, Virginia showed Clemson - and the nation - that its numbers haven #39;t just been built against inferior competition.",235,38
2,Sports,NBA Suspends Bucks' Fizer for One Game (AP),AP - The NBA suspended Milwaukee Bucks forward Marcus Fizer on Tuesday for one game following his guilty plea on a gun charge.,NBA Suspends Bucks' Fizer for One Game (AP) AP - The NBA suspended Milwaukee Bucks forward Marcus Fizer on Tuesday for one game following his guilty plea on a gun charge.,170,31
1,World,"Taiwan offers to cut troops by 100,000","Taiwanese President Chen Shui-bian Wednesday offered to cut the island #39;s troops by 100,000 to ease military tensions with mainland China.","Taiwan offers to cut troops by 100,000 Taiwanese President Chen Shui-bian Wednesday offered to cut the island #39;s troops by 100,000 to ease military tensions with mainland China.",180,28
